Nombre,Articulos,Actual,Pais,Anterior,Year-Publication,Citaciones,H-index,Profile
Dr. Edilso Reguera,396,Instituto Politecnico Nacional - Mexico,Mexico,Universidad de la Havana,1987,4495,36,https://scholar.google.es/citations?user=fneVNyAAAAAJ
Dr. Joelis Rodríguez Hernández,90,"Centro de Investigación en Química Aplicada, Saltillo, Coahuila, Mexico",Mexico,Universidad de la Havana,2000,802,16,https://scholar.google.es/citations?user=eQW56HcAAAAJ
Dr. Reinaldo Rodriguez-Ramos,278,Universidad de la Havana,Cuba,Universidad de la Havana,1994,2934,28,https://scholar.google.com.mx/citations?user=3cQu8ncAAAAJ
Dr. Julián Bravo-Castillero,200,Universidad Nacional Autónoma de México,Mexico,Universidad de la Havana,1994,2520,27,https://scholar.google.es/citations?user=lzrt8goAAAAJ
Dr. Ernesto Altshuler,268,Universidad de la Havana,Cuba,Universidad de la Havana,1985,1968,25,https://scholar.google.com/citations?user=JUoHOqQAAAAJ
Dr. Margarita Suarez ,159,Universidad de la Havana,Cuba,Universidad de la Havana,1991,2600,27,https://scholar.google.com/citations?user=fBZMMoAAAAAJ
Dr. Carlos Tallero,239,Latin American Center of Physics,Brazil,Universidad de la Havana,1988,3804,33,https://scholar.google.com.br/citations?user=61BjU0EAAAAJ
Dr. Raúl Guinovart-Díaz,179,Universidad de la Havana,Cuba,Universidad de la Havana,1993,2412,27,https://scholar.google.com.br/citations?&user=xZSBKaIAAAAJ
Dr. Roberto Cao,120,Universidad de la Havana,Cuba,Universidad de la Havana,1985,2401,28,https://scholar.google.com/citations?user=f9Q7AvQAAAAJ
Dr. Roberto Mulet ,99,Universidad de la Havana,Cuba,Universidad de la Havana,1994,990,14,https://scholar.google.es/citations?user=PtwDrzEAAAAJ
Dr. Aimé Peláiz Barranco,165,Universidad de la Havana,Cuba,Universidad de la Havana,1995,1212,18,https://scholar.google.com/citations?user=QjR0-A0AAAAJ
Dr. FJ Sabina,179,Universidad Nacional Autonoma de Mexico,Mexico,Universidad de la Havana,1971,2695,29,https://scholar.google.com/citations?user=mNiEc-0AAAAJ
Dr. René Delgado Hernández,390,Universidad de la Havana,Cuba,Universidad de la Havana,1981,5828,45,https://scholar.google.es/citations?hl=es&user=5i1Fgo8AAAAJ
Dr. María Eliana Lanio,148,Universidad de la Havana,Cuba,Universidad de la Havana,1984,2178,24,https://scholar.google.es/citations?hl=es&user=e8RjPv4AAAAJ
Dr. Yovani Marrero Ponce,274,"Universidad San Francisco de Quito (USFQ), Quito, Ecuador",Ecuador,Univesrdidad Marta Abreu,1999,4972,42,https://scholar.google.com/citations?user=rsbUYyEAAAAJ
Dr. Rafael Bello,331,Univesrdidad Marta Abreu,Cuba,Univesrdidad Marta Abreu,1994,2570,27,https://scholar.google.com/citations?hl=es&user=GCA03BYAAAAJ
Dr. Ricardo Grau,178,Univesrdidad Marta Abreu,Cuba,Univesrdidad Marta Abreu,1986,1296,19,https://scholar.google.co.uk/citations?user=sfzukVEAAAAJ&hl=en
Dr. Gerardo Guillen,272,CIGB,Cuba,CIGB,1993,3653,33,https://scholar.google.com/citations?user=YBsaoVAAAAAJ&hl=en
Dr. Luis Javier Gonzalez,149,CIGB,Cuba,CIGB,1992,2093,27,https://scholar.google.com/citations?hl=es&user=8KupnMIAAAAJ
Dr. Vladimir Besada,131,CIGB,Cuba,CIGB,1989,1987,27,https://scholar.google.com.cu/citations?hl=es&user=kxRj9YwAAAAJ
Dr. Mario Pablo Estrada,138,CIGB,Cuba,CIGB,1983,1931,24,https://scholar.google.com/citations?hl=es&user=MQKBYUMAAAAJ
Dr. Aniel Sanchez,85,Lund University ,Suecia,CIGB ,2000,932,20,https://scholar.google.com/citations?user=vCBMFLQAAAAJ&hl=en
Dr. Carlos Borroto,182,Centro de Investigacion Cientifica de Yucatan,Mexico,CIGB,1977,1993,22,https://scholar.google.com/citations?user=lLtmgxIAAAAJ&hl=en
Dr. Jose de la Fuente ,838,"Instituto de Investigación en Recursos Cinegéticos, IREC",España,CIGB,1987,32265,80,https://scholar.google.com/citations?user=Cu4qOlgAAAAJ
Dr. Lazaro Betancourt,76,Lund University ,Suecia,CIGB,1998,1281,21,https://scholar.google.com/citations?user=yI5drnoAAAAJ&hl=en
Dr. Tirso Pons,80,CNB-CSIC,España,Universidad de la Havana,1995,2050,21,https://scholar.google.com/citations?user=XDN_SdgAAAAJ&hl=en
Dr. Tania Crombet ,75,CIM,Cuba,CIM,1998,1912,20,https://app.webofknowledge.com/author/#/record/582137?SID=D5DdzFYaTCkDCsqVexe
Dr. Rolando Perez,178,CIM,Cuba,CIM,1981,4713,38,https://www.researchgate.net/profile/Rolando_Perez2
Dr. Jorge Gavilondo,149,CIGB,Cuba,CIGB,1974,"1,883",25,https://www.researchgate.net/profile/Jorge_Gavilondo
Dr. Marta Ayala,82,CIGB,Cuba,CIGB,1990,1205,22,https://www.researchgate.net/profile/Ayala_Marta
Dr. Humberto Gonzalez Diaz,303,Univ. of Basque Country UPV/EHU,España,Univesrdidad Marta Abreu,2000,9400,59,https://scholar.google.com/citations?hl=es&user=5lKu31YAAAAJ
Dr. Ernesto Estrada,277,University of Zaragoza,España,Univesrdidad Marta Abreu,1993,13185,60,https://scholar.google.com/citations?user=X0zSDpcAAAAJ&hl=es
Dr. José Miguel Álvarez,77,Universidad de Las Américas,Ecuador,Universidad de la Havana,2006,3227,30,https://www.researchgate.net/profile/Jose_Alvarez-Suarez
Dr. Agustin Lage Davila,90,CIM,Cuba,CIM,1986,1316,21,
Dr. Pedro A. Valdes-Sosa,476,Neurociencias ,Cuba ,Neurociencias,1977,9493,52,https://scholar.google.com/citations?hl=en&user=0M2PVJIAAAAJ
Dr. Lester Melie-Garcia,98,Instituto Technologico de Lausane,Suiza,Neurociencias,2001,2782,23,https://scholar.google.com/citations?user=iv1wdfUAAAAJ&hl=en
Dr. Nelson J. Trujillo-Barreto,90,Manchester University ,Inglaterra,Universidad de la Havana,1998,4699,32,https://scholar.google.com/citations?hl=en&user=vzAGu2QAAAAJ
Dr. Eduardo Aubert,69,Neurociencias ,Cuba ,Neurociencias,1993,2093,22,https://scholar.google.com/citations?hl=en&user=9TUzHPYAAAAJ
Dr. Calixto Machado,346,Instituto de Neurologia ,Cuba ,Instituto de Neurologia ,1984,6091,29,https://scholar.google.com/citations?hl=en&user=XplQXn4AAAAJ
