Instituto,Articulos,Pais
NATIONAL ACADEMY OF SCIENCES UKRAINE,304,Ukrania
BOGOLYUBOV INSTITUTE FOR THEORETICAL PHYSICS,299,Ukrania
LUND UNIVERSITY,337,Suecia
KAROLINSKA INSTITUTET,92,Suecia
UNIVERSITY OF CAPE TOWN,325,Sudafrica
NATIONAL RESEARCH FOUNDATION SOUTH AFRICA,288,Sudafrica
RUSSIAN ACADEMY OF SCIENCES,431,Rusia
JOINT INSTITUTE FOR NUCLEAR RESEARCH RUSSIA,314,Rusia
SAINT PETERSBURG STATE UNIVERSITY,302,Rusia
LOMONOSOV MOSCOW STATE UNIVERSITY,301,Rusia
NATIONAL RESEARCH CENTRE KURCHATOV INSTITUTE,299,Rusia
BUDKER INSTITUTE OF NUCLEAR PHYSICS,297,Rusia
INSTITUTE FOR NUCLEAR RESEARCH OF THE RUSSIAN ACADEMY OF SCIENCES,296,Rusia
PETERSBURG NUCLEAR PHYSICS INSTITUTE,295,Rusia
RUSSIAN FED NUCL CTR VNIIEF,277,Rusia
HORIA HULUBEI NATIONAL INSTITUTE OF PHYSICS NUCLEAR ENGINEERING,301,Rumania
CZECH ACADEMY OF SCIENCES,398,Repulica Checa
NUCLEAR PHYSICS INSTITUTE OF THE CZECH ACADEMY OF SCIENCES,298,Repulica Checa
CZECH TECHNICAL UNIVERSITY PRAGUE,297,Repulica Checa
INSTITUTE OF PHYSICS OF THE CZECH ACADEMY OF SCIENCES,286,Repulica Checa
WARSAW UNIVERSITY OF TECHNOLOGY,295,Polonia
POLISH ACADEMY OF SCIENCES,319,Polania
PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,307,Peru
HOSP GEN UNIV DR GUSTAVO ALDEREGUIA LIMA,269,Peru
UNIVERSITY OF OSLO,355,Noruega
UNIVERSITY OF BERGEN,315,Noruega
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,1224,Mexico
INSTITUTO POLITECNICO NACIONAL MEXICO,593,Mexico
BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,372,Mexico
UNIVERSIDAD AUTONOMA DE SINALOA,304,Mexico
UNIVERSITY OF TOKYO,323,Japon
UNIVERSITY OF TSUKUBA,301,Japon
HIROSHIMA UNIVERSITY,296,Japon
ISTITUTO NAZIONALE DI FISICA NUCLEARE,380,Italia
SAPIENZA UNIVERSITY ROME,380,Italia
UNIVERSITY OF TURIN,346,Italia
UNIVERSITY OF BOLOGNA,328,Italia
UNIVERSITY OF EASTERN PIEDMONT AMEDEO AVOGADRO,315,Italia
UNIVERSITY OF CATANIA,288,Italia
DIPARTIMENTO INTERATENEO FIS M MERLIN,281,Italia
UNIVERSITY OF SALERNO,277,Italia
UNIVERSITY OF TRIESTE,274,Italia
UNIVERSITY OF BIRMINGHAM,303,Inglaterra
UNIVERSITY OF LIVERPOOL,257,Inglaterra
UNIVERSITY OF LONDON,220,Inglaterra
UNIVERSITY COLLEGE LONDON,114,Inglaterra
UNIVERSITY OF OXFORD,82,Inglaterra
INDIAN INSTITUTE OF TECHNOLOGY SYSTEM IIT SYSTEM,302,India
INDIAN INSTITUTE OF TECHNOLOGY IIT BOMBAY,296,India
PANJAB UNIVERSITY,296,India
SAHA INSTITUTE OF NUCLEAR PHYSICS,296,India
UNIVERSITY OF JAMMU,296,India
UNIVERSITY OF RAJASTHAN,295,India
VARIABLE ENERGY CYCLOTRON CENTRE,295,India
PUSAN NATIONAL UNIVERSITY,294,India
INDIAN INSTITUTE OF TECHNOLOGY IIT INDORE,263,India
DEPARTMENT OF SCIENCE TECHNOLOGY INDIA,245,India
HUNGARIAN ACADEMY OF SCIENCES,318,Hungria
UTRECHT UNIVERSITY,278,Holanda
NATIONAL KAPODISTRIAN UNIVERSITY OF ATHENS,321,Grecia
UNIVERSITE PARIS SACLAY,434,Francia
COMMUNAUTE UNIVERSITE GRENOBLE ALPES,322,Francia
UNIVERSITE GRENOBLE ALPES UGA,320,Francia
UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES,319,Francia
UNIVERSITE DE STRASBOURG,317,Francia
IMT ATLANTIQUE,299,Francia
INSTITUT NATIONAL POLYTECHNIQUE DE GRENOBLE,298,Francia
UNIVERSITE CLERMONT AUVERGNE ASSOCIES,297,Francia
UNIVERSITE DE NANTES,297,Francia
UNIVERSITE CLAUDE BERNARD LYON 1,274,Francia
UNIVERSITE DE TOULOUSE,93,Francia
UNIVERSITE DE MONTPELLIER,87,Francia
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD,82,Francia
SORBONNE UNIVERSITE,81,Fracia
UNIVERSITY OF JYVASKYLA,307,Finlandia
HELSINKI INSTITUTE OF PHYSICS,301,Finlandia
EUROPEAN ORGANIZATION FOR NUCLEAR RESEARCH CERN,312,Europa
UNIVERSITY OF CALIFORNIA SYSTEM,395,Estados Unidos 
UNIVERSITY OF TEXAS SYSTEM,355,Estados Unidos 
UNITED STATES DEPARTMENT OF ENERGY DOE,315,Estados Unidos 
YALE UNIVERSITY,314,Estados Unidos 
OHIO STATE UNIVERSITY,309,Estados Unidos 
CALIFORNIA STATE UNIVERSITY SYSTEM,305,Estados Unidos 
OAK RIDGE NATIONAL LABORATORY,301,Estados Unidos 
UNIVERSITY OF TENNESSEE KNOXVILLE,300,Estados Unidos 
UNIVERSITY OF TENNESSEE SYSTEM,300,Estados Unidos 
UNIVERSITY OF HOUSTON,298,Estados Unidos 
UNIVERSITY OF HOUSTON SYSTEM,298,Estados Unidos 
LAWRENCE BERKELEY NATIONAL LABORATORY,296,Estados Unidos 
UNIVERSITE CLERMONT AUVERGNE UCA,296,Estados Unidos 
UNIVERSITY OF TEXAS AUSTIN,296,Estados Unidos 
WAYNE STATE UNIVERSITY,297,Estados Unidos
CREIGHTON UNIVERSITY,295,Estados Unidos
CALIFORNIA POLYTECHNIC STATE UNIVERSITY SAN LUIS OBISPO,293,Estados Unidos
CHICAGO STATE UNIVERSITY,274,Estados Unidos
UNIVERSITY OF CALIFORNIA BERKELEY,269,Estados Unidos
STATE UNIVERSITY SYSTEM OF FLORIDA,127,Estados Unidos
HARVARD UNIVERSITY,76,Estados Unidos
UNIVERSITY OF SANTIAGO DE COMPOSTELA,318,España
UNIVERSITY OF GRANADA,284,España
COMPLUTENSE UNIVERSITY OF MADRID,265,España
UNIVERSITAT D ALACANT,92,España
UNIVERSITY OF ZARAGOZA,82,España
SLOVAK ACADEMY OF SCIENCES,313,Eslovaquia
COMENIUS UNIVERSITY BRATISLAVA,311,Eslovaquia
UNIVERSITY OF PAVOL JOZEF SAFARIK KOSICE,295,Eslovaquia
UNIVERSITY OF COPENHAGEN,327,Dinamarca
NIELS BOHR INSTITUTE,299,Dinamarca
UNIV. HABANA,6089,Cuba
UNIV. MARTA ABREU,1794,Cuba
CIGB,1356,Cuba
ICA,1536,Cuba
UNIV. SANTIAGO DE CUBA,1020,Cuba
UNIV. CIENFUEGOS,890,Cuba
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC,871,Cuba
ACADEMIA DE CIENCIAS DE CUBA,848,Cuba
CIM,493,Cuba
UNIV. HOLGUIN,492,Cuba
UNIV. MATANZAS,451,Cuba
CENIC,378,Cuba
NEUROCIENCIAS,440,Cuba
CNRS NATIONAL INSTITUTE OF NUCLEAR AND PARTICLE PHYSICS IN2P3,298,Cuba
UNIV. DE GRANMA,285,Cuba
CEA,252,Cuba
UNIV. DE PINAR DEL RIO,242,Cuba
UNIV. DE CIEGO DE AVILA,238,Cuba
UNIV CIENCIAS MED,387,Cuba
UNIV. CAMAGUEY,220,Cuba
INST CIBER MAT,195,Cuba
INST ECOL SISTEMAT,163,Cuba
INST SUPER TECNOL CIENCIAS APLICADAS,161,Cuba
CEADEN,160,Cuba
CUJAE,435,Cuba
UNIV CIENCIAS INFORMAT,150,Cuba
UNIV CIENCIAS MED CIENFUEGOS,150,Cuba
CIREN,135,Cuba
INST INVEST IND ALIMENTICIA,126,Cuba
INT CTR NEUROL RESTORAT,122,Cuba
ICIMAF,120,Cuba
HERMANOS AMEIJEIRAS HOSP,291,Cuba
INST NEUROL NEUROSURG,118,Cuba
CITMA,114,Cuba
INST NEUROL NEUROCIRUGIA,96,Cuba
INST ONCOL RADIOBIOL,96,Cuba
INSTITUTO NACIONAL DE ASTROFISICA OPTICA Y ELECTRONICA,93,Cuba
CNIC,91,Cuba
NATL INST ONCOL RADIOBIOL,91,Cuba
INST PEDRO KOURI,1127,Cuba
UNIV. LAS TUNAS,88,Cuba
INST HEMATOL IMMUNOL,87,Cuba
