Year,Country,Documents,Citable documents,Sqrt(Documents),Citations,Self-citations,Sqrt(citations),Citations per document,H index,continent
1996,Albania,69,68,8.246211251,853,116,27,12.36,62,Europa
1997,Albania,52,51,7.141428429,475,28,21,9.13,62,Europa
1998,Albania,50,48,6.92820323,817,72,27,16.34,62,Europa
1999,Albania,45,44,6.633249581,1128,75,32,25.07,62,Europa
2000,Albania,43,41,6.403124237,683,76,25,15.88,62,Europa
2001,Albania,39,38,6.164414003,423,83,18,10.85,62,Europa
2002,Albania,51,49,7,866,83,28,16.98,62,Europa
2003,Albania,53,51,7.141428429,1029,94,31,19.42,62,Europa
2004,Albania,54,52,7.211102551,1673,55,40,30.98,62,Europa
2005,Albania,60,55,7.416198487,1170,108,33,19.5,62,Europa
2006,Albania,73,69,8.306623863,1277,62,35,17.49,62,Europa
2007,Albania,84,81,9,1441,105,37,17.15,62,Europa
2008,Albania,109,105,10.24695077,1818,141,41,16.68,62,Europa
2009,Albania,139,134,11.5758369,1015,121,30,7.3,62,Europa
2010,Albania,239,233,15.26433752,2714,184,50,11.36,62,Europa
2011,Albania,295,277,16.64331698,1580,151,38,5.36,62,Europa
2012,Albania,354,340,18.43908891,1517,202,36,4.29,62,Europa
2013,Albania,533,497,22.29349681,1229,181,32,2.31,62,Europa
2014,Albania,549,524,22.89104628,2159,179,44,3.93,62,Europa
2015,Albania,501,470,21.67948339,2261,199,45,4.51,62,Europa
2016,Albania,428,398,19.94993734,2749,149,51,6.42,62,Europa
2017,Albania,411,370,19.23538406,1119,86,32,2.72,62,Europa
2018,Albania,496,450,21.21320344,259,40,15,0.52,62,Europa
1996,Algeria,369,369,19.20937271,5085,724,66,13.78,157,Africa
1997,Algeria,399,399,19.97498436,4812,774,64,12.06,157,Africa
1998,Algeria,451,451,21.23676058,6883,1098,76,15.26,157,Africa
1999,Algeria,497,495,22.24859546,5742,1158,68,11.55,157,Africa
2000,Algeria,547,544,23.32380758,7805,1382,80,14.27,157,Africa
2001,Algeria,643,638,25.25866188,10235,1650,93,15.92,157,Africa
2002,Algeria,692,682,26.11512971,10497,1620,94,15.17,157,Africa
2003,Algeria,910,898,29.96664813,11722,2469,96,12.88,157,Africa
2004,Algeria,1204,1187,34.45286635,16835,3029,117,13.98,157,Africa
2005,Algeria,1324,1307,36.15245497,16268,3404,113,12.29,157,Africa
2006,Algeria,1853,1826,42.73172124,22741,4518,135,12.27,157,Africa
2007,Algeria,2048,2034,45.09988914,23009,4569,136,11.23,157,Africa
2008,Algeria,2513,2487,49.86983056,29987,5580,156,11.93,157,Africa
2009,Algeria,3172,3135,55.99107072,33839,6755,165,10.67,157,Africa
2010,Algeria,3205,3150,56.1248608,36195,6630,172,11.29,157,Africa
2011,Algeria,3618,3569,59.74110812,28965,6544,150,8.01,157,Africa
2012,Algeria,4336,4236,65.08456038,31244,7145,155,7.21,157,Africa
2013,Algeria,5020,4876,69.828361,32443,8201,156,6.46,157,Africa
2014,Algeria,5275,5135,71.65891431,31213,8321,151,5.92,157,Africa
2015,Algeria,5979,5769,75.95393341,28586,7815,144,4.78,157,Africa
2016,Algeria,6696,6526,80.78366171,28906,6450,150,4.32,157,Africa
2017,Algeria,7320,7032,83.85702117,17306,3910,116,2.36,157,Africa
2018,Algeria,7643,6960,83.42661446,4348,1191,56,0.57,157,Africa
1996,Armenia,401,399,19.97498436,3499,480,55,8.73,177,Asia
1997,Armenia,341,340,18.43908891,4433,933,59,13,177,Asia
1998,Armenia,356,354,18.81488772,4134,742,58,11.61,177,Asia
1999,Armenia,367,364,19.07878403,5186,828,66,14.13,177,Asia
2000,Armenia,478,476,21.81742423,8897,1330,87,18.61,177,Asia
2001,Armenia,465,458,21.40093456,7533,1478,78,16.2,177,Asia
2002,Armenia,493,485,22.02271555,6663,1314,73,13.52,177,Asia
2003,Armenia,536,525,22.91287847,8680,1715,83,16.19,177,Asia
2004,Armenia,547,541,23.2594067,8796,1718,84,16.08,177,Asia
2005,Armenia,623,613,24.75883681,11023,1548,97,17.69,177,Asia
2006,Armenia,606,585,24.18677324,13824,1727,110,22.81,177,Asia
2007,Armenia,646,633,25.15949125,11271,1577,98,17.45,177,Asia
2008,Armenia,626,606,24.61706725,14889,2693,110,23.78,177,Asia
2009,Armenia,716,692,26.30589288,9099,1627,86,12.71,177,Asia
2010,Armenia,819,787,28.05352028,17598,3070,121,21.49,177,Asia
2011,Armenia,1028,982,31.33687923,16225,3581,112,15.78,177,Asia
2012,Armenia,1156,1107,33.27160952,30062,4788,159,26.01,177,Asia
2013,Armenia,1070,1025,32.01562119,18122,4024,119,16.94,177,Asia
2014,Armenia,1096,1062,32.58834147,14089,3047,105,12.85,177,Asia
2015,Armenia,1081,1033,32.14031736,13306,2733,103,12.31,177,Asia
2016,Armenia,1134,1086,32.95451411,11649,2413,96,10.27,177,Asia
2017,Armenia,1135,1072,32.74141109,5429,1519,63,4.78,177,Asia
