Year,Country,Documents,Citable documents,Sqrt(Documents),Citations,Self-citations,Sqrt(citations),Citations per document,H index,continent
1996,Australia,25020,24271,155.7915274,754029,146026,780,30.14,914,Asia
1997,Australia,26136,25401,159.3769118,807759,154766,808,30.91,914,Asia
1998,Australia,27309,26370,162.3884232,933991,173705,872,34.2,914,Asia
1999,Australia,28287,27089,164.5873628,951278,180832,878,33.63,914,Asia
2000,Australia,30333,28835,169.8087159,1090217,199837,944,35.94,914,Asia
2001,Australia,31097,29393,171.4438684,1107211,209566,947,35.61,914,Asia
2002,Australia,32812,30960,175.9545396,1200259,221787,989,36.58,914,Asia
2003,Australia,36815,33511,183.0600994,1272634,246598,1013,34.57,914,Asia
2004,Australia,40149,36812,191.8645355,1420559,266697,1074,35.38,914,Asia
2005,Australia,46334,42014,204.973169,1448210,281060,1080,31.26,914,Asia
2006,Australia,50343,45161,212.5111762,1453327,289373,1079,28.87,914,Asia
2007,Australia,54687,48748,220.7894925,1463492,297352,1080,26.76,914,Asia
2008,Australia,58392,51312,226.5215222,1551118,315804,1111,26.56,914,Asia
2009,Australia,64173,56340,237.3604853,1560956,330903,1109,24.32,914,Asia
2010,Australia,69794,61098,247.1800963,1682173,355161,1152,24.1,914,Asia
2011,Australia,75038,65852,256.6164453,1610046,360034,1118,21.46,914,Asia
2012,Australia,81844,69904,264.3936459,1587564,350967,1112,19.4,914,Asia
2013,Australia,89244,76306,276.2354069,1498661,339634,1077,16.79,914,Asia
2014,Australia,92969,81064,284.7174038,1310328,297465,1006,14.09,914,Asia
2015,Australia,95345,82763,287.6855923,1060521,243046,904,11.12,914,Asia
2016,Australia,98802,85330,292.1129918,754449,177478,760,7.64,914,Asia
2017,Australia,101697,86783,294.589545,400360,100137,548,3.94,914,Asia
2018,Australia,106228,89153,298.5849963,99374,28632,266,0.94,914,Asia
1996,Austria,7729,7577,87.04596487,269161,28846,490,34.82,620,Europa
1997,Austria,8413,8250,90.82951062,242319,30588,460,28.8,620,Europa
1998,Austria,8401,8198,90.54280756,260850,31163,479,31.05,620,Europa
1999,Austria,8901,8599,92.73079316,320053,35097,534,35.96,620,Europa
2000,Austria,9397,9040,95.07891459,321625,35236,535,34.23,620,Europa
2001,Austria,9978,9555,97.74968031,335000,37466,545,33.57,620,Europa
2002,Austria,10772,10298,101.4790619,357927,41686,562,33.23,620,Europa
2003,Austria,12085,11382,106.6864565,406516,46237,600,33.64,620,Europa
2004,Austria,12932,12163,110.2859919,434392,48775,621,33.59,620,Europa
2005,Austria,14608,13560,116.447413,458777,51251,638,31.41,620,Europa
2006,Austria,15158,13870,117.7709642,422720,49266,611,27.89,620,Europa
2007,Austria,16526,15215,123.3490981,439837,52379,622,26.61,620,Europa
2008,Austria,17465,16007,126.5187733,434196,55102,616,24.86,620,Europa
2009,Austria,18930,17141,130.9236419,440329,55250,621,23.26,620,Europa
2010,Austria,19660,17888,133.746028,504703,63095,665,25.67,620,Europa
2011,Austria,21171,19285,138.8704432,474646,62865,642,22.42,620,Europa
2012,Austria,22813,20414,142.87757,460476,60934,632,20.18,620,Europa
2013,Austria,23715,21135,145.3788155,406892,57511,591,17.16,620,Europa
2014,Austria,24289,21896,147.9729705,349654,51415,546,14.4,620,Europa
2015,Austria,25152,22636,150.4526504,278888,42435,486,11.09,620,Europa
2016,Austria,25682,23182,152.2563628,207524,32601,418,8.08,620,Europa
2017,Austria,26459,23420,153.0359435,105227,19589,293,3.98,620,Europa
2018,Austria,26756,23107,152.0098681,27433,5632,148,1.03,620,Europa
1996,Belgium,11614,11350,106.5363788,360195,44838,562,31.01,748,Europa
1997,Belgium,12241,11988,109.4897255,389846,47481,585,31.85,748,Europa
1998,Belgium,13104,12769,113,428222,52444,613,32.68,748,Europa
1999,Belgium,13170,12746,112.8981842,458460,55278,635,34.81,748,Europa
2000,Belgium,13540,13071,114.3284741,488733,55306,658,36.1,748,Europa
2001,Belgium,13907,13404,115.7756451,496505,60159,661,35.7,748,Europa
2002,Belgium,14865,14314,119.6411301,555856,65109,701,37.39,748,Europa
2003,Belgium,16814,15931,126.2180653,633604,72797,749,37.68,748,Europa
2004,Belgium,18006,17016,130.4453909,642315,77213,752,35.67,748,Europa
2005,Belgium,20437,19065,138.076066,733063,84855,805,35.87,748,Europa
2006,Belgium,21281,19486,139.5922634,657055,80822,759,30.88,748,Europa
2007,Belgium,22650,20794,144.2012483,677328,84883,770,29.9,748,Europa
2008,Belgium,24094,22061,148.5294584,709575,88621,788,29.45,748,Europa
2009,Belgium,25963,23657,153.8083223,719550,93979,791,27.71,748,Europa
2010,Belgium,27096,24565,156.7322558,746909,98115,805,27.57,748,Europa
2011,Belgium,28828,26129,161.644672,706045,97487,780,24.49,748,Europa
2012,Belgium,30905,27765,166.6283289,672089,94088,760,21.75,748,Europa
2013,Belgium,32064,28641,169.2365209,620804,88287,730,19.36,748,Europa
2014,Belgium,33163,29861,172.8033564,525455,77592,669,15.84,748,Europa
2015,Belgium,33618,30128,173.5741916,416062,63652,594,12.38,748,Europa
2016,Belgium,33980,30529,174.725499,298029,45608,502,8.77,748,Europa
2017,Belgium,34297,30501,174.6453549,154729,26374,358,4.51,748,Europa
2018,Belgium,35099,30295,174.0545891,35709,7162,169,1.02,748,Europa
1996,Brazil,9169,9058,95.17352573,169147,52563,341,18.45,530,Sur America
1997,Brazil,11273,11175,105.7118726,201969,62235,374,17.92,530,Sur America
1998,Brazil,12748,12601,112.2541759,253411,75194,422,19.88,530,Sur America
1999,Brazil,13783,13572,116.498927,282017,86944,442,20.46,530,Sur America
2000,Brazil,15521,15259,123.5273249,350518,108988,491,22.58,530,Sur America
